Year,Total Debt,Stockholders Equity,Retained Earnings,Long Term Debt,Current Liabilities,Total Assets,Total Non Current Assets,Current Assets
12/31/2021,1157173000,132495000,-376972000,1129674000,94189000,1379399000,327351000,1052048000
12/31/2022,1193743000,-203548000,-743109000,1133608000,75841000,1062224000,455765000,606459000
12/31/2023,1217141000,-513368000,-1081253000,1137542000,74354000,774450000,401606000,372844000
12/31/2024,1222026000,-601208000,-1241531000,1141476000,61453000,678146000,391690000,286456000
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
